S_OBJECTID,S_STATIONID,S_NAME_E,S_LAT,S_LON,E_STATIONID,E_STATIONID,E_NAME_E,E_LAT,E_LON
207,PYK,PHAYAKKHAPHUM PHISAI,15.55129,103.17581,,,,,
208,PO,PHON,15.80793,102.5781,,,,,
209,POT,PHON THONG,16.29624,103.90682,,,,,
210,PKC,PRAKHON CHAI,14.66199,103.05611,,,,,
211,RE1,ROIET1,16.07709,103.64769,,,,,
212,RE2,ROIET2,16.12542,103.51131,,,,,
213,SO1,SAKON NAKHON 1,17.14424,104.11983,,,,,
214,SO2,SAKON NAKHON 2,17.26701,104.11761,,,,,
215,SS,SI SA KET,15.07273,104.34568,,,,,
216,SRD,SIRINDHORN,15.20607,105.42777,,,,,
217,SD,SOMDET,16.67427,103.73128,,,,,
218,SU,SURIN,14.91023,103.50828,,,,,
219,TH,THAT PHANOM,16.93232,104.68977,,,,,
220,UR,UBOLRATANA,16.77591,102.61863,,,,,
221,UB1,UBON RATCHATHANI 1,15.27745,104.85839,,,,,
222,UB2,UBON RATCHATHANI 2,15.15246,104.89061,,,,,
223,UD1,UDON THANI 1,17.44947,102.79027,,,,,
224,UD2,UDON THANI 2,17.37364,102.85165,,,,,
225,YT,YASOTHON,15.79795,104.19151,,,,,
226,KKU,KHON KAEN UNIVERSITY,16.46566,102.80778,,,,,
227,BDG,BAN DUNG,17.68612,103.19882,,,,,
228,SKA,SANG KA,14.65803,103.81352,,,,,
229,KRD,KIRIDHARN,12.75482,102.30707,,,,,
230,PN2,PHANGNGA,8.51369,98.51655,,,,,
231,CYP2,CHAIYAPHUM 2,15.86597,102.09181,,,,,
232,TW,THA WUNG,14.81499,100.52898,,,,,
233,SRT2,SURAT THANI 2,9.06546,99.23579,,,,,
234,PK3,PHUKET 3,7.96069,98.36633,,,,,
235,UD3,UDON THANI 3,17.35195,102.93733,,,,,
236,UB3,UBON RATCHATHANI 3,15.32851,104.69933,,,,,
237,KKI,KAENG KHOI,14.60374,101.02526,,,,,
238,CC2,CHACHOENGSAO 2,13.60981,101.15947,,,,,
239,KBB,KABIN BURI,14.02859,101.79221,,,,,
240,SKA2,SONG KHLA 2,6.95719,100.70573,,,,,
241,PTG,PHAN THONG,13.44601,101.06657,,,,,
242,SKK,SAM KHOAK,14.07012,100.49628,,,,,
243,HY3,HAT YAI 3,6.79132,100.47831,,,,,
244,SR6,SARABURI 6,14.71174,100.90939,,,,,
245,BL2,BANG LAMUNG 2,13.00781,100.97817,,,,,
246,LN3,LAMPHUN 3,18.52464,99.07731,,,,,
247,CB2,CHON BURI 2,13.20407,101.00114,,,,,
